Total Admissions Per 100k (2010)
STATE,YEAR,VALUE
DISTRICT OF COLUMBIA,2010,0
FEDERAL,2010,17.82399410514755
MASSACHUSETTS,2010,44.68027139489397
MAINE,2010,78.65123676056349
RHODE ISLAND,2010,91.01895626529651
NEW HAMPSHIRE,2010,115.05102873845597
HAWAII,2010,116.18363175069808
UTAH,2010,121.92490017038502
NEW YORK,2010,123.00977880822714
NEBRASKA,2010,123.37847193194405
WISCONSIN,2010,125.0953368780526
NORTH CAROLINA,2010,125.15384037671043
MINNESOTA,2010,131.79157836938472
PENNSYLVANIA,2010,132.45296602646292
NEW JERSEY,2010,141.43835970595458
OREGON,2010,142.3535014688672
WYOMING,2010,148.6128873411578
NORTH DAKOTA,2010,151.7871304079724
VIRGINIA,2010,152.30647537441956
MICHIGAN,2010,158.6794885930071
IOWA,2010,162.02205624414384
MARYLAND,2010,170.80098263281366
GEORGIA,2010,172.23774286185858
KANSAS,2010,173.86328700593148
SOUTH CAROLINA,2010,173.92313222945518
FLORIDA,2010,174.19541449256377
WEST VIRGINIA,2010,177.311083884105
DELAWARE,2010,177.7077368991945
CONNECTICUT,2010,177.82138320312305
NEW MEXICO,2010,205.67177804680063
OHIO,2010,213.2437878142841
OKLAHOMA,2010,213.92570150822405
ARIZONA,2010,215.19819096925417
COLORADO,2010,215.6232987274184
TENNESSEE,2010,217.47761204359745
NEVADA,2010,218.76408645101122
MONTANA,2010,235.93330897979533
WASHINGTON,2010,253.76133591380628
ALABAMA,2010,256.44663843218154
ARKANSAS,2010,262.4257766666621
ILLINOIS,2010,267.7390869632253
IDAHO,2010,274.2024387977356
MISSISSIPPI,2010,282.4847343768097
INDIANA,2010,286.35160081730226
TEXAS,2010,292.8944486273686
MISSOURI,2010,296.36165161286016
CALIFORNIA,2010,319.01914495177294
VERMONT,2010,332.79598152447085
KENTUCKY,2010,340.12517876354633
SOUTH DAKOTA,2010,349.62123345881326
ALASKA,2010,371.0725817969995
LOUISIANA,2010,383.0073990015715
