Total Admissions Per 100k (2002)
STATE,YEAR,VALUE
DISTRICT OF COLUMBIA,2002,0
FEDERAL,2002,17.347227598857465
MASSACHUSETTS,2002,30.52331493757625
MAINE,2002,82.61601405940625
NEW HAMPSHIRE,2002,88.50163197009353
MINNESOTA,2002,105.23256995873209
NEW MEXICO,2002,109.18712348685295
PENNSYLVANIA,2002,109.935648177369
NEBRASKA,2002,114.48724496154678
NORTH CAROLINA,2002,114.5778385610399
WEST VIRGINIA,2002,120.09485326031684
NORTH DAKOTA,2002,121.68234122506183
UTAH,2002,131.37868803794262
WASHINGTON,2002,138.65159711878115
NEW YORK,2002,142.0059510883931
OREGON,2002,144.09553750222838
WISCONSIN,2002,146.69255113952022
MICHIGAN,2002,149.86900283670295
VIRGINIA,2002,155.28161370959538
HAWAII,2002,155.85443488924483
WYOMING,2002,157.12104355733308
ALABAMA,2002,161.5456509004074
MONTANA,2002,170.46428712736352
NEW JERSEY,2002,170.5969547460445
KANSAS,2002,180.04879455046418
COLORADO,2002,184.91363185780588
MARYLAND,2002,187.15372837764133
MISSISSIPPI,2002,201.63413199899392
GEORGIA,2002,210.56346517718464
IOWA,2002,211.8620923208014
CONNECTICUT,2002,212.9114465856741
ARIZONA,2002,213.22028103625243
KENTUCKY,2002,216.06665803051817
FLORIDA,2002,219.64820915487837
NEVADA,2002,223.61594930140788
OHIO,2002,225.19081329353406
INDIANA,2002,227.84166614219174
IDAHO,2002,228.21609225205248
SOUTH DAKOTA,2002,238.94282561372614
SOUTH CAROLINA,2002,240.76897922822343
OKLAHOMA,2002,241.91090676701998
TENNESSEE,2002,259.90357909784524
ARKANSAS,2002,264.24059758970577
ILLINOIS,2002,275.98636718601006
TEXAS,2002,292.2325988351966
VERMONT,2002,304.74022278234
MISSOURI,2002,307.013807083867
ALASKA,2002,334.84209363442153
LOUISIANA,2002,339.67239191163236
RHODE ISLAND,2002,352.70920064463235
CALIFORNIA,2002,357.10605348737306
DELAWARE,2002,534.4900271224465
