Total Admissions Per 100k (2008)
STATE,YEAR,VALUE
DISTRICT OF COLUMBIA,2008,0
FEDERAL,2008,17.927236996450095
MASSACHUSETTS,2008,46.13671842465801
MAINE,2008,58.72586840404306
RHODE ISLAND,2008,106.21716902293494
NEW HAMPSHIRE,2008,110.75202440175751
NEBRASKA,2008,117.0067156804151
MICHIGAN,2008,122.3795764372977
UTAH,2008,124.70012022690216
NORTH CAROLINA,2008,127.8882732747249
NEW YORK,2008,133.24060580274423
WISCONSIN,2008,134.533132182223
HAWAII,2008,135.53598072515246
OREGON,2008,142.9556665611946
PENNSYLVANIA,2008,144.1466619471911
MINNESOTA,2008,144.7453019911608
WYOMING,2008,148.59816766451337
NEW JERSEY,2008,150.1835653862376
KANSAS,2008,161.29407033379508
NORTH DAKOTA,2008,170.09109461648436
DELAWARE,2008,171.9905365260194
WEST VIRGINIA,2008,172.29855752992083
VIRGINIA,2008,174.7820259680551
NEVADA,2008,176.23860183532815
MARYLAND,2008,186.10429510192793
IOWA,2008,186.94135946482066
CONNECTICUT,2008,191.0114155798628
GEORGIA,2008,192.21810057045704
NEW MEXICO,2008,206.51683165027737
SOUTH CAROLINA,2008,214.5991366293013
OKLAHOMA,2008,218.46721688243082
FLORIDA,2008,221.86425680847432
TENNESSEE,2008,227.80386561494862
ARIZONA,2008,229.4373753053562
WASHINGTON,2008,229.8938802538443
COLORADO,2008,232.89774929673754
MONTANA,2008,240.0739642678209
ALABAMA,2008,241.7335547638635
ARKANSAS,2008,244.6854064699885
IDAHO,2008,253.94335603264403
OHIO,2008,255.98382799829844
MISSISSIPPI,2008,273.00752462747585
ILLINOIS,2008,281.58630794753293
INDIANA,2008,289.63846301110357
TEXAS,2008,302.3910593561877
MISSOURI,2008,324.0079679870256
KENTUCKY,2008,336.05951215166476
VERMONT,2008,367.6038444631583
LOUISIANA,2008,368.3691365160564
CALIFORNIA,2008,385.4498905984305
SOUTH DAKOTA,2008,387.9273913281262
ALASKA,2008,705.8310626702997
