Total Admissions Per 100k (1993)
STATE,YEAR,VALUE
FEDERAL,1993,9.773060170671595
WEST VIRGINIA,1993,48.527156776278254
NORTH DAKOTA,1993,54.8956981734704
MAINE,1993,60.9352637281434
MINNESOTA,1993,66.61612474577224
MASSACHUSETTS,1993,80.22349056664481
MONTANA,1993,80.49614032844792
PENNSYLVANIA,1993,81.62727138010733
NEW HAMPSHIRE,1993,84.73090632852218
VERMONT,1993,86.02366429654451
RHODE ISLAND,1993,86.19738511612512
NEBRASKA,1993,90.30567363234272
UTAH,1993,101.34829045872218
WASHINGTON,1993,102.76875117686795
WYOMING,1993,108.43808988312783
SOUTH DAKOTA,1993,113.54840139082944
WISCONSIN,1993,114.33877907659341
OREGON,1993,117.60027473829119
INDIANA,1993,119.00988653287261
COLORADO,1993,124.80165944698753
IOWA,1993,127.28359673623851
TENNESSEE,1993,130.31417101890696
MICHIGAN,1993,131.96907290625668
NEW MEXICO,1993,142.62554439388114
KANSAS,1993,150.7110958648521
KENTUCKY,1993,152.79866827763243
HAWAII,1993,155.4349364532868
ARKANSAS,1993,156.16965822213302
NEW JERSEY,1993,159.5060457936712
IDAHO,1993,159.63664175012266
TEXAS,1993,164.72106110404738
MARYLAND,1993,176.99510186168678
MISSISSIPPI,1993,179.57892358103274
ILLINOIS,1993,183.8930922092989
MISSOURI,1993,186.14445545822326
DELAWARE,1993,187.85975780672672
VIRGINIA,1993,191.85422212936834
NEW YORK,1993,194.84130409251637
ARIZONA,1993,200.98685505135975
OHIO,1993,203.42955768506658
ALABAMA,1993,207.3939502662663
OKLAHOMA,1993,216.7399228542394
GEORGIA,1993,218.73710276516712
SOUTH CAROLINA,1993,223.54076117963132
NEVADA,1993,226.89668122858674
CONNECTICUT,1993,227.79091465395456
FLORIDA,1993,231.69793465082859
LOUISIANA,1993,277.47480092335604
CALIFORNIA,1993,317.15180927035226
NORTH CAROLINA,1993,363.1642902031545
ALASKA,1993,435.91266398857584
DISTRICT OF COLUMBIA,1993,1252.979585117445
