Total Admissions Per 100k (2004)
STATE,YEAR,VALUE
DISTRICT OF COLUMBIA,2004,0
FEDERAL,2004,18.52918939729064
MASSACHUSETTS,2004,38.05446950906944
MAINE,2004,50.21964405967348
RHODE ISLAND,2004,72.14764787467776
NEW HAMPSHIRE,2004,85.0888714585625
PENNSYLVANIA,2004,119.37004131617658
NEBRASKA,2004,121.39934702649089
NORTH CAROLINA,2004,122.74824314232688
WEST VIRGINIA,2004,125.7138294084962
MINNESOTA,2004,130.01678956967672
NEW YORK,2004,132.26286981097923
MICHIGAN,2004,133.9239917913077
UTAH,2004,134.3220243427918
HAWAII,2004,135.53834585745963
WISCONSIN,2004,146.4423189452379
OREGON,2004,150.88827355775354
WYOMING,2004,155.07328206637135
VIRGINIA,2004,155.91289443150637
NORTH DAKOTA,2004,159.51519951972566
NEW JERSEY,2004,161.24893021333028
KANSAS,2004,165.66786230232188
ALABAMA,2004,186.16237348161314
MARYLAND,2004,189.56605484840398
WASHINGTON,2004,194.28264106027385
CONNECTICUT,2004,194.6693297952864
COLORADO,2004,200.44868328912375
ARIZONA,2004,201.21800353333882
DELAWARE,2004,210.49091562338577
IOWA,2004,216.87261462222548
TENNESSEE,2004,223.29781052541912
GEORGIA,2004,226.61806419708324
NEW MEXICO,2004,227.18755236334786
FLORIDA,2004,233.49867763122265
SOUTH CAROLINA,2004,235.21257437568224
MONTANA,2004,241.06613442029104
OHIO,2004,246.21894558315327
OKLAHOMA,2004,256.8823733108661
INDIANA,2004,258.15622740147404
ARKANSAS,2004,292.95441891425884
NEVADA,2004,296.5599305707941
TEXAS,2004,298.3586771157998
SOUTH DAKOTA,2004,298.7279844707943
ILLINOIS,2004,311.8551208176638
IDAHO,2004,316.44341741645934
KENTUCKY,2004,318.44492607227147
MISSISSIPPI,2004,322.41790211108366
MISSOURI,2004,337.10495404661395
LOUISIANA,2004,347.8472385727304
CALIFORNIA,2004,348.2691398624894
VERMONT,2004,372.08098423509045
ALASKA,2004,415.0738622879851
