Total Admissions Per 100k (1996)
STATE,YEAR,VALUE
FEDERAL,1996,11.240401819364513
CONNECTICUT,1996,36.77302472364038
MASSACHUSETTS,1996,55.21253589947565
WEST VIRGINIA,1996,57.548573409816065
MAINE,1996,64.28834483531615
MINNESOTA,1996,70.10654114823225
PENNSYLVANIA,1996,81.15894781081963
NEW HAMPSHIRE,1996,84.78623398446778
NORTH DAKOTA,1996,89.94713875845272
RHODE ISLAND,1996,101.47978289595481
NEBRASKA,1996,103.00285587964677
MONTANA,1996,113.39864192432417
OREGON,1996,114.31700363800313
WASHINGTON,1996,116.01950750778356
UTAH,1996,125.09816361505163
WYOMING,1996,125.77662971892815
WISCONSIN,1996,134.20686020956845
VERMONT,1996,135.2532672169998
MICHIGAN,1996,140.70600990198946
IOWA,1996,144.30555555555554
VIRGINIA,1996,145.50686991511037
INDIANA,1996,149.7964870717352
TENNESSEE,1996,153.60067111677841
SOUTH DAKOTA,1996,154.80731272559225
COLORADO,1996,155.56233564933626
KANSAS,1996,162.32213983723418
NEW MEXICO,1996,162.35563473919808
FLORIDA,1996,162.9866912267662
NEW YORK,1996,172.967529316576
NEW JERSEY,1996,184.07047416829005
MARYLAND,1996,190.04355645731422
NORTH CAROLINA,1996,191.4362316966351
OHIO,1996,193.2521064319499
HAWAII,1996,195.7208900482241
KENTUCKY,1996,196.06917657324146
ARIZONA,1996,198.17132990621195
MISSISSIPPI,1996,198.93853356064312
DELAWARE,1996,199.87125106447297
TEXAS,1996,200.18260276886522
ARKANSAS,1996,202.75190514865426
ILLINOIS,1996,202.78471396084464
GEORGIA,1996,209.49014067194955
IDAHO,1996,209.96057628609165
SOUTH CAROLINA,1996,217.13819082240133
OKLAHOMA,1996,222.53631521417287
ALABAMA,1996,225.11591738084212
MISSOURI,1996,247.84808322776192
NEVADA,1996,256.37332565173557
LOUISIANA,1996,322.2413356863581
CALIFORNIA,1996,386.8847941183617
ALASKA,1996,390.58841314624965
DISTRICT OF COLUMBIA,1996,1171.6054278910578
