Total Admissions Per 100k (2011)
STATE,YEAR,VALUE
DISTRICT OF COLUMBIA,2011,0
FEDERAL,2011,19.805391806745742
MASSACHUSETTS,2011,45.737890464659316
MAINE,2011,71.45072836074411
RHODE ISLAND,2011,83.51548841341499
HAWAII,2011,100.01382009150355
WISCONSIN,2011,112.24197345585002
UTAH,2011,115.68133430734247
NORTH CAROLINA,2011,119.33017280454695
NEW JERSEY,2011,119.83691478043407
NEW YORK,2011,121.51431090062945
NEW HAMPSHIRE,2011,132.4539483566152
NEBRASKA,2011,133.01560097707582
MICHIGAN,2011,133.3308087422808
MINNESOTA,2011,135.17657428322272
OREGON,2011,137.4016977374434
VIRGINIA,2011,137.58854947086456
NORTH DAKOTA,2011,140.07240485896259
PENNSYLVANIA,2011,143.99406853361162
GEORGIA,2011,151.5708782593546
WYOMING,2011,152.5983969247991
IOWA,2011,154.81781884192614
SOUTH CAROLINA,2011,156.73518933670712
NEW MEXICO,2011,167.70529971799382
MARYLAND,2011,169.26065265466417
CONNECTICUT,2011,169.3798630382977
KANSAS,2011,174.1409106455125
FLORIDA,2011,175.37413796595595
WEST VIRGINIA,2011,184.0609174264457
COLORADO,2011,187.0701900173468
OHIO,2011,191.8847468473448
OKLAHOMA,2011,197.2038566185275
ARIZONA,2011,202.22120923932954
MONTANA,2011,206.9727579370446
NEVADA,2011,217.49172517976206
TENNESSEE,2011,223.3985850850328
IDAHO,2011,223.4090543443629
WASHINGTON,2011,239.60335213361918
ILLINOIS,2011,242.67135235546232
ARKANSAS,2011,243.092275336209
ALABAMA,2011,248.67055056072158
CALIFORNIA,2011,256.89065601129494
MISSISSIPPI,2011,282.5571963450206
TEXAS,2011,286.0678191094176
INDIANA,2011,288.23423082246495
MISSOURI,2011,299.44991322124855
VERMONT,2011,326.29291973098395
DELAWARE,2011,336.3336217872753
SOUTH DAKOTA,2011,343.53377455156163
KENTUCKY,2011,356.98624694348547
LOUISIANA,2011,358.78881778494355
ALASKA,2011,524.2708774376728
