Total Admissions Per 100k (1999)
STATE,YEAR,VALUE
FEDERAL,1999,15.738952680103031
MASSACHUSETTS,1999,42.92942683991455
MAINE,1999,58.88816616251239
WEST VIRGINIA,1999,72.19343867614454
NEW HAMPSHIRE,1999,88.62418924824102
PENNSYLVANIA,1999,91.81489757868785
MINNESOTA,1999,93.50605860574814
NEBRASKA,1999,95.14513445849397
NEW MEXICO,1999,108.291548724007
NORTH DAKOTA,1999,112.37716508422854
VIRGINIA,1999,117.71135974620059
WASHINGTON,1999,119.1257810783074
OREGON,1999,120.44994300136626
RHODE ISLAND,1999,127.64296877553099
NORTH CAROLINA,1999,129.65822032739487
MICHIGAN,1999,131.5029550022451
HAWAII,1999,131.5376352970338
UTAH,1999,137.96345965158778
MONTANA,1999,146.07128412368928
VERMONT,1999,149.66519647484716
NEW YORK,1999,156.25393051055926
IOWA,1999,156.29102210901024
WYOMING,1999,163.69108137785187
WISCONSIN,1999,166.29580776294634
COLORADO,1999,167.15499082114653
KENTUCKY,1999,173.6413133425567
INDIANA,1999,174.92231970089506
NEW JERSEY,1999,180.88203347723191
KANSAS,1999,182.79993040460164
IDAHO,1999,183.19727453879284
SOUTH DAKOTA,1999,186.96396113068553
ARIZONA,1999,187.9843298619398
OHIO,1999,187.99423472584334
ALABAMA,1999,191.82233703171073
CONNECTICUT,1999,192.26901952840197
FLORIDA,1999,205.86416214148983
SOUTH CAROLINA,1999,208.2933930311909
MISSISSIPPI,1999,209.02217784704328
MARYLAND,1999,210.94263993077186
OKLAHOMA,1999,223.84844174543596
ILLINOIS,1999,228.90973556155745
ARKANSAS,1999,230.25348246136676
NEVADA,1999,231.50660716445498
TENNESSEE,1999,242.76846496341537
GEORGIA,1999,248.08708464429066
MISSOURI,1999,255.09048268700104
TEXAS,1999,274.2260759929605
DELAWARE,1999,346.9722189963741
LOUISIANA,1999,360.96575264004684
ALASKA,1999,389.8978678860845
CALIFORNIA,1999,392.8093336187929
DISTRICT OF COLUMBIA,1999,1046.6264360861642
