Total Admissions Per 100k (1991)
STATE,YEAR,VALUE
FEDERAL,1991,0
WEST VIRGINIA,1991,38.36029209416618
NORTH DAKOTA,1991,53.47988920225308
MINNESOTA,1991,57.826650204386134
MAINE,1991,73.47942454859464
NEW HAMPSHIRE,1991,74.59936626577016
MONTANA,1991,79.41408951684616
WISCONSIN,1991,79.93001289395193
PENNSYLVANIA,1991,80.21088678138607
VERMONT,1991,82.65829062654984
RHODE ISLAND,1991,83.11490933053909
NEBRASKA,1991,87.97438967767161
MASSACHUSETTS,1991,91.13611931271569
UTAH,1991,91.1910460843475
WYOMING,1991,94.06436441231547
WASHINGTON,1991,97.59982044020802
NEW MEXICO,1991,104.93118713049853
INDIANA,1991,105.53045836576818
IOWA,1991,106.69810298994179
SOUTH DAKOTA,1991,108.57377545408424
COLORADO,1991,119.18683695494607
TENNESSEE,1991,127.85439981218491
IDAHO,1991,134.63732430885534
KENTUCKY,1991,137.4408703370579
KANSAS,1991,139.15113405973133
MICHIGAN,1991,143.11023115286233
MISSISSIPPI,1991,150.45793469356028
HAWAII,1991,153.9471160866819
NEW JERSEY,1991,155.27195241363813
ILLINOIS,1991,163.19525240116573
NEW YORK,1991,164.12185729239494
MISSOURI,1991,169.3354993424615
MARYLAND,1991,175.87574761573418
DELAWARE,1991,176.55325876910464
ARKANSAS,1991,191.93133104839657
ALABAMA,1991,192.91776160751138
SOUTH CAROLINA,1991,196.30831692996085
OKLAHOMA,1991,196.60267553472903
LOUISIANA,1991,197.04797169430927
VIRGINIA,1991,198.58068687366267
OHIO,1991,202.25179389064007
ARIZONA,1991,205.61815310026773
OREGON,1991,213.31688809348927
TEXAS,1991,217.38124572328837
ALASKA,1991,235.18352557818142
GEORGIA,1991,237.6670391800397
NEVADA,1991,244.0264440417198
FLORIDA,1991,280.0341486086775
CALIFORNIA,1991,317.8951765392211
NORTH CAROLINA,1991,319.7981215397949
CONNECTICUT,1991,358.2311880940811
DISTRICT OF COLUMBIA,1991,1077.6041406627057
