Total Admissions Per 100k (1981)
STATE,YEAR,VALUE
FEDERAL,1981,6.090680824286316
HAWAII,1981,24.84185044183736
NEW HAMPSHIRE,1981,30.961669453216917
MINNESOTA,1981,31.471412575139823
NORTH DAKOTA,1981,31.537992667416706
MASSACHUSETTS,1981,37.773024513288775
RHODE ISLAND,1981,38.19501282261145
WEST VIRGINIA,1981,42.32114327472512
PENNSYLVANIA,1981,43.25154471007214
MAINE,1981,46.336340046954156
WISCONSIN,1981,49.53113627515699
UTAH,1981,52.261290616326896
SOUTH DAKOTA,1981,58.73250895126942
NEW JERSEY,1981,59.38603827355242
NEBRASKA,1981,59.992790729054946
IOWA,1981,60.28262337046922
COLORADO,1981,62.46026972762285
WYOMING,1981,66.29883692316453
LOUISIANA,1981,69.03571787107575
MONTANA,1981,69.15498890376769
WASHINGTON,1981,69.90543760898379
MISSOURI,1981,70.41673813772971
NEW YORK,1981,71.04509607538601
CALIFORNIA,1981,74.21554856918483
MICHIGAN,1981,76.33627573661792
IDAHO,1981,78.46577073652857
KANSAS,1981,78.66312934172463
INDIANA,1981,79.99401504631952
VIRGINIA,1981,82.2911169494536
VERMONT,1981,83.00960234909417
CONNECTICUT,1981,85.36734646262454
KENTUCKY,1981,91.70730059315498
OKLAHOMA,1981,93.18020987994448
NEW MEXICO,1981,94.16852940271642
OREGON,1981,97.63952237969067
OHIO,1981,97.9487763215901
TENNESSEE,1981,101.21763693553447
ALABAMA,1981,102.71735246981002
ARIZONA,1981,103.87401317018578
ILLINOIS,1981,104.74997944236868
ARKANSAS,1981,106.92542736375184
MISSISSIPPI,1981,113.4286974604575
TEXAS,1981,113.58744551532352
ALASKA,1981,119.95564986331748
DELAWARE,1981,123.32814851729363
FLORIDA,1981,133.22184257414543
SOUTH CAROLINA,1981,136.44847701733318
MARYLAND,1981,139.91408998003473
GEORGIA,1981,140.5450078955549
NEVADA,1981,140.979827497319
NORTH CAROLINA,1981,157.84042336555336
DISTRICT OF COLUMBIA,1981,380.12783977164065
