Total Admissions Per 100k (2019)
STATE,YEAR,VALUE
DISTRICT OF COLUMBIA,2019,0
FEDERAL,2019,14.168312083490322
MASSACHUSETTS,2019,28.552762327415742
RHODE ISLAND,2019,62.679294404834614
MAINE,2019,67.6976548342077
NEW JERSEY,2019,84.20220688816609
CALIFORNIA,2019,86.59345742202356
WISCONSIN,2019,90.51197488885232
NEW YORK,2019,91.3765865282968
NEW HAMPSHIRE,2019,96.27045747221285
HAWAII,2019,101.70410884599737
MICHIGAN,2019,107.82171007354965
SOUTH CAROLINA,2019,113.85367297542649
CONNECTICUT,2019,118.44768738112808
MARYLAND,2019,119.14292519617314
MINNESOTA,2019,122.3129452418172
UTAH,2019,126.04656704797756
FLORIDA,2019,130.36755222396104
NEBRASKA,2019,131.09954053126333
PENNSYLVANIA,2019,132.49503651346677
OREGON,2019,132.6066561286301
VIRGINIA,2019,140.79987403226448
NEW MEXICO,2019,148.93918388194746
NORTH CAROLINA,2019,157.8362644692777
COLORADO,2019,163.6296576193109
WYOMING,2019,165.69936709407543
INDIANA,2019,166.02252541101234
GEORGIA,2019,172.14158275506213
OHIO,2019,173.8114996021935
ILLINOIS,2019,175.4286144035652
ARIZONA,2019,186.42021663982814
OKLAHOMA,2019,189.96853906687716
TENNESSEE,2019,190.0376238766211
NEVADA,2019,191.1266831939681
NORTH DAKOTA,2019,191.58546155037254
KANSAS,2019,202.5871567568755
DELAWARE,2019,208.46940326403524
ALASKA,2019,213.2473053605725
IOWA,2019,217.23765241341715
MONTANA,2019,227.17533482163742
WEST VIRGINIA,2019,233.07239863694218
MISSOURI,2019,234.47932912614206
MISSISSIPPI,2019,244.745810777619
TEXAS,2019,256.56402714578667
ALABAMA,2019,287.34383874971064
IDAHO,2019,293.77778648230475
WASHINGTON,2019,317.35179995306567
ARKANSAS,2019,340.3136850504539
LOUISIANA,2019,346.69206680270196
VERMONT,2019,410.5841609387345
KENTUCKY,2019,440.00534506442165
SOUTH DAKOTA,2019,504.7142458280535
