Total Admissions Per 100k (1997)
STATE,YEAR,VALUE
FEDERAL,1997,12.633188509278071
MASSACHUSETTS,1997,55.17134597846663
WEST VIRGINIA,1997,59.20467832399636
CONNECTICUT,1997,63.8930323155432
MAINE,1997,67.7412824938993
MINNESOTA,1997,75.51344735576974
PENNSYLVANIA,1997,78.37868649294141
NEW HAMPSHIRE,1997,87.35313281627678
NORTH DAKOTA,1997,90.96282067857341
RHODE ISLAND,1997,95.96694991871092
NEBRASKA,1997,97.66261982497815
OREGON,1997,98.78007814036819
WASHINGTON,1997,119.1418753999077
UTAH,1997,133.74004143818428
MONTANA,1997,135.18904552937803
WYOMING,1997,141.58720689098604
WISCONSIN,1997,141.86665066528832
MICHIGAN,1997,142.31753917886653
IOWA,1997,153.60834334387482
SOUTH DAKOTA,1997,156.0016285441326
COLORADO,1997,157.60423642576586
KANSAS,1997,158.35057367456815
VIRGINIA,1997,160.01914138191933
NEW YORK,1997,160.09394236210713
NORTH CAROLINA,1997,160.84996065601604
INDIANA,1997,165.80280951299076
FLORIDA,1997,169.15241522887993
TENNESSEE,1997,169.33270512451463
NEW MEXICO,1997,170.8887397673817
VERMONT,1997,176.98107457818395
OHIO,1997,178.68548455103442
IDAHO,1997,189.3335069840133
ARIZONA,1997,194.6805883060762
NEW JERSEY,1997,197.254881729808
GEORGIA,1997,200.11453333262202
MARYLAND,1997,201.75175982601843
MISSISSIPPI,1997,204.68101594380133
KENTUCKY,1997,208.3108278875425
SOUTH CAROLINA,1997,212.71105289121218
ILLINOIS,1997,218.96950650823524
ALABAMA,1997,219.852172708614
ARKANSAS,1997,220.17692582724933
TEXAS,1997,225.00651838569763
OKLAHOMA,1997,225.4428436869333
HAWAII,1997,234.31052127694693
DELAWARE,1997,234.4684605322514
MISSOURI,1997,246.00483872762737
NEVADA,1997,256.9576396856421
LOUISIANA,1997,355.3211427728711
CALIFORNIA,1997,407.93867883436593
ALASKA,1997,438.0326542331736
DISTRICT OF COLUMBIA,1997,1237.5470289007567
