Total Admissions Per 100k (2007)
STATE,YEAR,VALUE
DISTRICT OF COLUMBIA,2007,0
FEDERAL,2007,18.127866249174204
MASSACHUSETTS,2007,41.604640517596195
MAINE,2007,87.29924968192708
RHODE ISLAND,2007,110.14124050126586
NEW HAMPSHIRE,2007,114.54875457644668
NEBRASKA,2007,119.10196665144933
HAWAII,2007,119.43622966842938
NORTH CAROLINA,2007,119.979161688221
UTAH,2007,130.1901496961479
MICHIGAN,2007,133.0733618768647
NEW YORK,2007,138.58986281930746
OREGON,2007,143.13049949410077
WYOMING,2007,145.58265541235045
PENNSYLVANIA,2007,145.9768795940693
MINNESOTA,2007,151.39064024814272
WISCONSIN,2007,153.38554130618002
NEW JERSEY,2007,159.95751758067902
NORTH DAKOTA,2007,162.4877389917299
KANSAS,2007,175.27830159108743
VIRGINIA,2007,181.00329427809118
FLORIDA,2007,183.80132321633658
WEST VIRGINIA,2007,184.02184631387624
IOWA,2007,192.4317130954615
MARYLAND,2007,193.24693543514815
CONNECTICUT,2007,207.187170447565
NEW MEXICO,2007,210.94806756230284
DELAWARE,2007,220.95142074885302
GEORGIA,2007,222.0634647753389
MONTANA,2007,222.51821672020685
SOUTH CAROLINA,2007,224.37792593155152
ARIZONA,2007,227.90711637613222
ARKANSAS,2007,234.009360374415
ALABAMA,2007,234.97683436310882
TENNESSEE,2007,235.96834013136854
COLORADO,2007,236.79030799467768
OKLAHOMA,2007,244.03505245853896
NEVADA,2007,253.80176901819178
WASHINGTON,2007,255.62341347125798
OHIO,2007,267.6112757647788
IDAHO,2007,271.0030715460115
INDIANA,2007,278.1860329307089
ILLINOIS,2007,281.9220939421571
TEXAS,2007,304.27011396778573
MISSOURI,2007,327.13326149814276
MISSISSIPPI,2007,336.6164417366054
LOUISIANA,2007,359.29071447276834
KENTUCKY,2007,364.02697380199317
VERMONT,2007,382.78051768043065
CALIFORNIA,2007,385.8376008340059
SOUTH DAKOTA,2007,405.87929011900354
ALASKA,2007,479.55655674874725
