Total Admissions Per 100k (1998)
STATE,YEAR,VALUE
FEDERAL,1998,14.206060171575334
MASSACHUSETTS,1998,51.452221820780444
CONNECTICUT,1998,57.43827094461441
MAINE,1998,63.138984391566545
WEST VIRGINIA,1998,79.532542524299
NEW HAMPSHIRE,1998,82.92286515083669
PENNSYLVANIA,1998,87.20632073111219
MINNESOTA,1998,89.47914701671081
RHODE ISLAND,1998,96.10582308188391
NEBRASKA,1998,105.61287309472254
OREGON,1998,110.00913063852722
NORTH DAKOTA,1998,118.14087952410075
WASHINGTON,1998,123.94355065427844
NEW MEXICO,1998,130.86261154267336
VERMONT,1998,137.2381815274743
UTAH,1998,142.01554968697482
MONTANA,1998,144.43693686122512
NORTH CAROLINA,1998,146.02155607526123
MICHIGAN,1998,146.57884865690718
VIRGINIA,1998,147.11086264175287
NEW YORK,1998,153.93018071214473
WYOMING,1998,154.24206427635613
TENNESSEE,1998,157.44935633374595
FLORIDA,1998,164.8138879656869
IOWA,1998,165.28458712612888
WISCONSIN,1998,165.82755595287892
COLORADO,1998,167.15092093331478
KANSAS,1998,169.7738628684228
ALABAMA,1998,175.94837878893483
INDIANA,1998,176.13287813725228
SOUTH DAKOTA,1998,179.20858699993835
OHIO,1998,182.442066223367
GEORGIA,1998,196.74355150151283
KENTUCKY,1998,200.45716981274103
NEW JERSEY,1998,202.7290043774792
ARIZONA,1998,208.36140495586832
IDAHO,1998,209.28988365686362
MARYLAND,1998,212.85573307837274
OKLAHOMA,1998,214.29028713195194
ILLINOIS,1998,222.9656220453205
SOUTH CAROLINA,1998,227.44234525360181
ARKANSAS,1998,236.22685850643245
MISSISSIPPI,1998,237.80373455256176
DELAWARE,1998,247.33570450719537
MISSOURI,1998,247.3846677647455
NEVADA,1998,257.5557511341249
HAWAII,1998,286.4471257775258
TEXAS,1998,294.3812910420428
LOUISIANA,1998,384.63236181701234
CALIFORNIA,1998,407.68256629180445
ALASKA,1998,426.98231418929817
DISTRICT OF COLUMBIA,1998,1346.8853387116749
