Total Admissions Per 100k (1995)
STATE,YEAR,VALUE
FEDERAL,1995,10.278340533623394
CONNECTICUT,1995,45.24473067352076
MAINE,1995,57.33908064464245
WEST VIRGINIA,1995,61.19427537423918
MASSACHUSETTS,1995,66.85722985388618
MINNESOTA,1995,71.28480015793382
NORTH DAKOTA,1995,73.78456142950641
NEW HAMPSHIRE,1995,83.62410274706905
RHODE ISLAND,1995,87.51211895355172
PENNSYLVANIA,1995,90.61022168229727
MONTANA,1995,96.2862485211961
VERMONT,1995,96.77386494443142
NEBRASKA,1995,101.20748923350264
WASHINGTON,1995,112.55189948890965
OREGON,1995,116.12975757520564
UTAH,1995,119.20501524940458
WYOMING,1995,129.44183362189793
MICHIGAN,1995,131.21871773982605
SOUTH DAKOTA,1995,132.5337940847647
TENNESSEE,1995,132.9657424080184
WISCONSIN,1995,133.90973214967647
NEW MEXICO,1995,136.3641119417994
COLORADO,1995,139.3907417265166
IOWA,1995,142.01152064973758
INDIANA,1995,142.59691471819252
HAWAII,1995,150.8955979593167
KANSAS,1995,158.74620867994588
VIRGINIA,1995,172.24597204518332
KENTUCKY,1995,179.24452343413782
FLORIDA,1995,181.14751984041683
DELAWARE,1995,181.84708400595284
NEW JERSEY,1995,185.81653252494482
MISSISSIPPI,1995,186.98632476560599
NEW YORK,1995,187.25871977397665
MARYLAND,1995,190.94550272157994
ARIZONA,1995,197.36045061713494
IDAHO,1995,200.1151766466608
OHIO,1995,202.4324203938836
ILLINOIS,1995,202.9489766236855
ALABAMA,1995,207.4334388382052
ARKANSAS,1995,208.2512456619254
GEORGIA,1995,210.23651368993532
MISSOURI,1995,219.55109164752008
SOUTH CAROLINA,1995,221.5237655198686
OKLAHOMA,1995,233.5403336186842
NEVADA,1995,247.85372583584243
NORTH CAROLINA,1995,268.68449164659995
TEXAS,1995,292.38213002533763
LOUISIANA,1995,294.23727482021815
ALASKA,1995,330.73466443419386
CALIFORNIA,1995,367.9040219541653
DISTRICT OF COLUMBIA,1995,813.2406113860576
