Total Admissions Per 100k (2000)
STATE,YEAR,VALUE
FEDERAL,2000,16.94215134213355
MASSACHUSETTS,2000,37.8436951665209
MAINE,2000,59.34806386728582
NEW HAMPSHIRE,2000,85.93683239737965
WEST VIRGINIA,2000,88.21436200650595
MINNESOTA,2000,89.29950356285968
NORTH DAKOTA,2000,95.44603867747972
PENNSYLVANIA,2000,97.31794479086898
NEBRASKA,2000,99.74640250504132
OREGON,2000,119.93968913614567
NORTH CAROLINA,2000,121.89049584603181
WASHINGTON,2000,122.31180476396867
MICHIGAN,2000,131.20638758740563
HAWAII,2000,132.80333056556555
WYOMING,2000,135.43661606857262
MONTANA,2000,135.947029369208
VIRGINIA,2000,137.8134213747758
UTAH,2000,145.92432253240855
ALABAMA,2000,146.051674259392
NEW YORK,2000,150.93132745665818
WISCONSIN,2000,156.22633392467122
NEW JERSEY,2000,161.93960303981024
COLORADO,2000,170.3530673025159
IOWA,2000,174.74994740767656
NEW MEXICO,2000,174.9218618276561
VERMONT,2000,177.73318052214861
SOUTH DAKOTA,2000,185.92181491450245
KANSAS,2000,186.16241027031242
ARIZONA,2000,187.5085765625505
CONNECTICUT,2000,188.0279952141526
INDIANA,2000,195.18524458648224
MARYLAND,2000,196.90884929872993
KENTUCKY,2000,203.58600835831334
MISSISSIPPI,2000,208.26384768511858
OHIO,2000,209.32177527252222
SOUTH CAROLINA,2000,210.78296139995078
GEORGIA,2000,211.08943069278962
OKLAHOMA,2000,217.02732210693694
FLORIDA,2000,223.39836972595327
ILLINOIS,2000,241.08261652426967
TENNESSEE,2000,241.82732526038257
NEVADA,2000,244.22619835091572
ARKANSAS,2000,261.9957226407317
IDAHO,2000,262.16747168829846
MISSOURI,2000,271.2062739194069
DELAWARE,2000,350.961520121158
RHODE ISLAND,2000,352.22929451356003
LOUISIANA,2000,354.1077279620244
CALIFORNIA,2000,382.9435000076924
ALASKA,2000,392.9886740855364
TEXAS,2000,402.7410914456404
DISTRICT OF COLUMBIA,2000,576.8315889628925
