Total Admissions Per 100k (2005)
STATE,YEAR,VALUE
DISTRICT OF COLUMBIA,2005,0
FEDERAL,2005,19.547382607598998
MASSACHUSETTS,2005,40.957497337297774
MAINE,2005,41.78004332011061
RHODE ISLAND,2005,88.54551549358726
NEW HAMPSHIRE,2005,114.02972917939321
NORTH CAROLINA,2005,121.0687826635409
NEW YORK,2005,128.6334913377764
NEBRASKA,2005,131.0140142180176
MICHIGAN,2005,131.568593756101
HAWAII,2005,133.0050856279475
PENNSYLVANIA,2005,136.1795840785121
MINNESOTA,2005,139.62432635668628
WISCONSIN,2005,140.28836893206338
UTAH,2005,144.14092926292898
WEST VIRGINIA,2005,144.407734267595
WYOMING,2005,155.85431473485013
VIRGINIA,2005,158.50316113923967
NEW JERSEY,2005,165.28960127638692
DELAWARE,2005,171.2096353639574
NORTH DAKOTA,2005,172.0271025316157
OREGON,2005,178.3646671562735
KANSAS,2005,178.68013047041492
MARYLAND,2005,185.04188072770003
CONNECTICUT,2005,192.61428601007185
WASHINGTON,2005,204.01572713064195
GEORGIA,2005,211.88406217669433
ARIZONA,2005,213.52894490457808
IOWA,2005,217.26084524233332
ALABAMA,2005,217.9294436649638
SOUTH CAROLINA,2005,222.45200471124588
NEW MEXICO,2005,222.84974260880819
COLORADO,2005,225.26272426503718
NEVADA,2005,235.55258128100087
TENNESSEE,2005,238.5023520001174
OKLAHOMA,2005,251.41751413692774
OHIO,2005,254.05955872728657
FLORIDA,2005,262.26577930065605
MONTANA,2005,264.4413088988993
INDIANA,2005,271.44849291233817
IDAHO,2005,286.1426982414848
ARKANSAS,2005,290.46678920734337
MISSISSIPPI,2005,312.2288901547386
TEXAS,2005,315.2848532053441
ILLINOIS,2005,315.8400852360323
KENTUCKY,2005,321.09180298941277
LOUISIANA,2005,332.08150582154263
SOUTH DAKOTA,2005,342.14264104891265
MISSOURI,2005,348.75596709215085
CALIFORNIA,2005,362.43351248650134
VERMONT,2005,379.1123019194782
ALASKA,2005,428.3870659369548
