Total Admissions Per 100k (2009)
STATE,YEAR,VALUE
DISTRICT OF COLUMBIA,2009,0
FEDERAL,2009,18.583316870600967
MASSACHUSETTS,2009,43.193484820932824
MAINE,2009,67.96626870494674
RHODE ISLAND,2009,93.61864549201535
NEW HAMPSHIRE,2009,116.64118679576467
NEBRASKA,2009,118.27772054063772
NEW YORK,2009,125.62013684448132
WISCONSIN,2009,128.12183121730416
UTAH,2009,128.92466059415952
NORTH CAROLINA,2009,129.7532300793827
HAWAII,2009,133.6495833005193
PENNSYLVANIA,2009,135.94856612581572
MINNESOTA,2009,139.92974839229854
NEW JERSEY,2009,141.1273351210917
IOWA,2009,145.51893441707315
MICHIGAN,2009,150.17462363813976
WYOMING,2009,151.21171477391738
OREGON,2009,155.7379555982149
VIRGINIA,2009,160.23921071627473
NORTH DAKOTA,2009,161.86282936844123
KANSAS,2009,171.45916252859868
WEST VIRGINIA,2009,176.06552890821237
MARYLAND,2009,176.33193776693236
DELAWARE,2009,177.71561434468921
GEORGIA,2009,179.1598532171097
CONNECTICUT,2009,183.95310446444407
NEVADA,2009,204.64722095581487
FLORIDA,2009,205.32454229478967
SOUTH CAROLINA,2009,205.5141998604766
TENNESSEE,2009,219.35265000427236
OKLAHOMA,2009,220.98968009655417
COLORADO,2009,222.79724276719946
ARIZONA,2009,230.5717384666373
OHIO,2009,232.81492240296745
MONTANA,2009,243.69505707243877
IDAHO,2009,250.35564086192207
WASHINGTON,2009,256.7151771519291
ARKANSAS,2009,258.6997525480628
MISSISSIPPI,2009,283.09658956177446
ALABAMA,2009,285.74717310990616
TEXAS,2009,288.4800612953551
ILLINOIS,2009,292.80249758160255
NEW MEXICO,2009,301.3926160053063
MISSOURI,2009,304.4802741675268
INDIANA,2009,308.2461728448495
KENTUCKY,2009,327.36741017214894
VERMONT,2009,339.3592382913021
LOUISIANA,2009,346.5212966120787
CALIFORNIA,2009,351.36405114228626
SOUTH DAKOTA,2009,391.56407753485735
ALASKA,2009,395.29087022690925
