Total Admissions Per 100k (1990)
STATE,YEAR,VALUE
FEDERAL,1990,0
WEST VIRGINIA,1990,48.701624726367164
MINNESOTA,1990,54.808163454982704
NORTH DAKOTA,1990,57.08147439566557
NEW HAMPSHIRE,1990,61.219866520913634
WISCONSIN,1990,70.13878099614196
MAINE,1990,72.09436567918495
HAWAII,1990,74.18111147732671
PENNSYLVANIA,1990,76.17216033975119
NEBRASKA,1990,79.2205657347344
MONTANA,1990,82.72890412944699
RHODE ISLAND,1990,85.88511871331369
UTAH,1990,85.89303631016917
MASSACHUSETTS,1990,88.1839339864136
WASHINGTON,1990,93.75810083656211
INDIANA,1990,94.42588593540104
TENNESSEE,1990,98.74364898338784
COLORADO,1990,103.97210318724835
WYOMING,1990,104.91745464965064
IOWA,1990,111.5059305621179
IDAHO,1990,111.51894933147895
VERMONT,1990,120.21997245032738
SOUTH DAKOTA,1990,122.22045299031274
NEW MEXICO,1990,125.79079295518983
KENTUCKY,1990,127.17755697814431
NEW JERSEY,1990,136.98377797240565
MICHIGAN,1990,143.50276260538382
KANSAS,1990,145.4450784633681
MISSISSIPPI,1990,146.7681725947178
MISSOURI,1990,158.94308309026533
ILLINOIS,1990,159.85763424321829
DELAWARE,1990,160.40217035785815
VIRGINIA,1990,162.1551889982184
NEW YORK,1990,167.46774169203738
MARYLAND,1990,170.69567916796012
OHIO,1990,176.64500952765616
LOUISIANA,1990,177.70799794955954
ALABAMA,1990,180.02224661146576
ARIZONA,1990,180.6955680048598
ARKANSAS,1990,181.3216237387475
SOUTH CAROLINA,1990,195.33553927204022
OKLAHOMA,1990,204.2666709010504
OREGON,1990,211.51072848839752
ALASKA,1990,251.04375643875727
NEVADA,1990,255.67402176628886
GEORGIA,1990,263.4123811035896
TEXAS,1990,268.68533903430045
NORTH CAROLINA,1990,275.9447156189301
CALIFORNIA,1990,319.6380181721901
FLORIDA,1990,334.2896779765872
CONNECTICUT,1990,367.77403904717147
DISTRICT OF COLUMBIA,1990,1008.7209926633967
