Total Admissions Per 100k (1989)
STATE,YEAR,VALUE
FEDERAL,1989,9.517493159314453
HAWAII,1989,41.56830357469139
WEST VIRGINIA,1989,51.20251174613296
NORTH DAKOTA,1989,52.139740693752515
NEW HAMPSHIRE,1989,52.23969782458326
MINNESOTA,1989,55.16304679822658
WISCONSIN,1989,67.00193716725529
PENNSYLVANIA,1989,74.27087624296057
MONTANA,1989,79.03536832732648
MAINE,1989,79.10205640755346
NEBRASKA,1989,79.9425988011785
RHODE ISLAND,1989,79.94691524827515
UTAH,1989,81.60097358402966
MASSACHUSETTS,1989,83.15206504546184
WASHINGTON,1989,87.541395175974
WYOMING,1989,92.0639560885472
VERMONT,1989,92.52302765470263
INDIANA,1989,96.02285430831049
TENNESSEE,1989,96.98272088442968
COLORADO,1989,106.78235874843017
IOWA,1989,110.69852320157311
SOUTH DAKOTA,1989,116.69448866140081
IDAHO,1989,120.97443246096992
KENTUCKY,1989,121.42017826603283
NEW JERSEY,1989,125.49685545987685
ILLINOIS,1989,127.67122927489805
NEW MEXICO,1989,134.71765812036284
KANSAS,1989,135.30951546172048
MISSISSIPPI,1989,140.85502808942934
MICHIGAN,1989,144.8672365534458
VIRGINIA,1989,150.15758376677243
ARKANSAS,1989,150.99778724100662
MARYLAND,1989,156.5586128073449
LOUISIANA,1989,157.98590659433032
NEW YORK,1989,158.47100889168163
DELAWARE,1989,168.48162957741343
ALABAMA,1989,168.7497162071932
OHIO,1989,169.2179563291163
ARIZONA,1989,170.0908927521844
MISSOURI,1989,171.25801146822297
SOUTH CAROLINA,1989,192.40454770177672
ALASKA,1989,194.64462278237633
OREGON,1989,208.88213120693308
TEXAS,1989,219.7217397430265
OKLAHOMA,1989,222.10597219691599
GEORGIA,1989,235.06146927612454
NORTH CAROLINA,1989,239.26698915187933
NEVADA,1989,268.7786791774335
CONNECTICUT,1989,295.4853961322539
CALIFORNIA,1989,297.9486906035495
FLORIDA,1989,360.9114487843778
DISTRICT OF COLUMBIA,1989,887.2582789945047
