Total Admissions Per 100k (1994)
STATE,YEAR,VALUE
ALASKA,1994,0
FEDERAL,1994,10.384765697320143
WEST VIRGINIA,1994,47.79114281806242
CONNECTICUT,1994,56.69274432386515
NORTH DAKOTA,1994,62.034354625591654
MAINE,1994,62.60753125145856
MINNESOTA,1994,68.10755353980333
VERMONT,1994,76.04875341705547
MASSACHUSETTS,1994,90.44761314605935
RHODE ISLAND,1994,91.93275325800228
NEW HAMPSHIRE,1994,93.2117350511133
PENNSYLVANIA,1994,93.70337948635752
NEBRASKA,1994,98.10614865643996
UTAH,1994,101.7625581117766
OREGON,1994,102.00995494133146
MONTANA,1994,103.09924695752728
WASHINGTON,1994,106.99214404926661
WYOMING,1994,118.26360708165811
SOUTH DAKOTA,1994,118.9124098578251
INDIANA,1994,124.03500044705072
TENNESSEE,1994,125.0325436333184
WISCONSIN,1994,125.30976816231949
MICHIGAN,1994,129.39508552901586
COLORADO,1994,133.29151638701583
NEW MEXICO,1994,137.77952660428747
IDAHO,1994,143.91253471191294
IOWA,1994,144.3131026054233
HAWAII,1994,155.27950310559004
KANSAS,1994,155.97673795869272
MISSISSIPPI,1994,162.2169199462103
NEW JERSEY,1994,164.55573321008706
KENTUCKY,1994,173.36574274217685
DELAWARE,1994,174.76255844581175
ARKANSAS,1994,175.17909847519203
NEW YORK,1994,187.20472472936655
MARYLAND,1994,189.7249883537127
VIRGINIA,1994,190.9712505682043
ILLINOIS,1994,195.96922078625252
ALABAMA,1994,200.08314107058564
OHIO,1994,209.10196087784806
FLORIDA,1994,209.9590405355715
MISSOURI,1994,211.71952956307422
SOUTH CAROLINA,1994,213.2025259371668
GEORGIA,1994,214.80572265694585
OKLAHOMA,1994,218.44349485208508
ARIZONA,1994,218.95889579700213
TEXAS,1994,241.66047279954142
NEVADA,1994,246.84885859915772
LOUISIANA,1994,283.7505212788739
NORTH CAROLINA,1994,332.0673211640708
CALIFORNIA,1994,334.4477993649878
DISTRICT OF COLUMBIA,1994,1467.3163181663128
