Total Admissions Per 100k (2006)
STATE,YEAR,VALUE
DISTRICT OF COLUMBIA,2006,0
ALASKA,2006,0
FEDERAL,2006,19.255293720474796
MASSACHUSETTS,2006,41.89348662215245
MAINE,2006,47.07356784943759
RHODE ISLAND,2006,85.45589683417029
NEBRASKA,2006,112.4722014729314
HAWAII,2006,114.84800474130193
NORTH CAROLINA,2006,120.08602255312042
NEW YORK,2006,135.83505832956718
UTAH,2006,136.77931543771703
MINNESOTA,2006,141.03558696326937
PENNSYLVANIA,2006,142.24840034697704
MICHIGAN,2006,145.97659812041493
OREGON,2006,149.44752545516099
WISCONSIN,2006,156.20064325302243
WEST VIRGINIA,2006,156.59263284228908
NEW JERSEY,2006,162.31972254204422
WYOMING,2006,165.93837076208806
VIRGINIA,2006,167.83060956223855
NORTH DAKOTA,2006,173.06064503565645
DELAWARE,2006,182.41030125834973
KANSAS,2006,184.4903291359727
MARYLAND,2006,187.609270952048
FLORIDA,2006,200.8734276271035
CONNECTICUT,2006,203.46256501132515
NEW HAMPSHIRE,2006,203.97989471710366
ARKANSAS,2006,213.31414157309678
SOUTH CAROLINA,2006,221.68968559931915
IOWA,2006,221.7318835470759
ALABAMA,2006,222.35088592353372
NEW MEXICO,2006,223.56543368502548
TENNESSEE,2006,225.12695311056675
ARIZONA,2006,232.2636908318664
COLORADO,2006,232.7561032466773
GEORGIA,2006,239.98706978692374
OKLAHOMA,2006,242.59064765631862
WASHINGTON,2006,244.93730072754602
MONTANA,2006,249.30513722879215
NEVADA,2006,250.42060956804048
OHIO,2006,277.54634655050967
INDIANA,2006,280.41639557579697
IDAHO,2006,282.7754192294114
TEXAS,2006,307.78777924144373
SOUTH DAKOTA,2006,308.9335830842377
ILLINOIS,2006,317.1407856149834
MISSOURI,2006,334.9272174768134
KENTUCKY,2006,335.2156030728729
MISSISSIPPI,2006,346.99618590683946
LOUISIANA,2006,358.72233438600375
CALIFORNIA,2006,385.4920875412266
VERMONT,2006,390.0094357121543
