Total Admissions Per 100k (1992)
STATE,YEAR,VALUE
FEDERAL,1992,0
WEST VIRGINIA,1992,32.49465388211471
NORTH DAKOTA,1992,49.6691595257457
MINNESOTA,1992,64.90831422564248
MAINE,1992,67.0968617077968
RHODE ISLAND,1992,81.86999361038771
NEW HAMPSHIRE,1992,81.94785396820852
PENNSYLVANIA,1992,83.51418529476449
VERMONT,1992,84.15524372720432
MONTANA,1992,84.52716858205069
WYOMING,1992,87.07756122775072
NEBRASKA,1992,87.54801645728978
MASSACHUSETTS,1992,89.60459030283266
UTAH,1992,90.91903904564408
WISCONSIN,1992,93.44533507594821
WASHINGTON,1992,106.1084643202538
INDIANA,1992,114.93428462219099
IOWA,1992,118.50691225272769
SOUTH DAKOTA,1992,119.80903506027629
COLORADO,1992,124.6875303030173
HAWAII,1992,132.65861853785518
TENNESSEE,1992,133.94743731461924
IDAHO,1992,135.8608173110569
NEW MEXICO,1992,141.34014273160665
KANSAS,1992,146.30424807514154
MICHIGAN,1992,146.54398930696223
OREGON,1992,150.8479136827715
KENTUCKY,1992,155.94338978756696
NEW JERSEY,1992,158.55576823220025
ILLINOIS,1992,170.418047124964
MISSISSIPPI,1992,171.28260715453624
NEW YORK,1992,175.52260132310292
MISSOURI,1992,177.32069975260205
MARYLAND,1992,185.32029293768005
DELAWARE,1992,190.38025686225131
ARKANSAS,1992,190.39861191133716
ARIZONA,1992,196.76995919034462
ALABAMA,1992,197.85681993368343
VIRGINIA,1992,206.33561817356107
OHIO,1992,212.63109583803552
OKLAHOMA,1992,224.43601446600036
TEXAS,1992,224.58664649219486
SOUTH CAROLINA,1992,225.21975083856657
NEVADA,1992,239.01723218045134
GEORGIA,1992,240.9052510245037
LOUISIANA,1992,242.4177201832843
ALASKA,1992,253.25442982932927
FLORIDA,1992,253.6600531861237
CONNECTICUT,1992,296.2391144698477
CALIFORNIA,1992,305.0138501928302
NORTH CAROLINA,1992,360.29040131276196
DISTRICT OF COLUMBIA,1992,1268.8159447089438
