Total Admissions Per 100k (2001)
STATE,YEAR,VALUE
DISTRICT OF COLUMBIA,2001,0
FEDERAL,2001,16.67382508603959
MASSACHUSETTS,2001,40.55067821009307
MAINE,2001,64.29061224743947
MINNESOTA,2001,93.22043592645359
NEW HAMPSHIRE,2001,93.96290335028273
WEST VIRGINIA,2001,99.24484955370397
NEBRASKA,2001,105.00899910823843
PENNSYLVANIA,2001,106.35363147527634
NORTH CAROLINA,2001,116.1584313723578
NORTH DAKOTA,2001,117.56070957632566
WASHINGTON,2001,121.94826634556851
UTAH,2001,124.9972722313148
OREGON,2001,130.38910413896798
WISCONSIN,2001,137.59138169886714
NEW YORK,2001,138.430669258459
MICHIGAN,2001,139.72486563936593
NEW MEXICO,2001,140.091174091991
HAWAII,2001,141.01559133386138
WYOMING,2001,149.7012061292299
VIRGINIA,2001,157.27328451140434
MONTANA,2001,165.47573445725834
KANSAS,2001,166.79894101551164
NEW JERSEY,2001,169.8810608767168
ALABAMA,2001,170.6976246148663
COLORADO,2001,171.77719809396112
VERMONT,2001,176.09976590819616
IOWA,2001,183.7903970200285
KENTUCKY,2001,185.27024167703112
ARIZONA,2001,190.746692803375
MARYLAND,2001,195.98019212161117
CONNECTICUT,2001,198.04966292180714
IDAHO,2001,205.12121831407012
GEORGIA,2001,205.9719269123903
SOUTH DAKOTA,2001,206.328732000585
INDIANA,2001,212.58890047897398
OHIO,2001,214.15521484224533
FLORIDA,2001,215.27016022936223
NEVADA,2001,221.48388954165392
SOUTH CAROLINA,2001,227.4595152338309
OKLAHOMA,2001,229.88810957509233
MISSISSIPPI,2001,243.4363142073793
TENNESSEE,2001,250.1979430601606
ARKANSAS,2001,261.1602531039721
MISSOURI,2001,281.25512713886957
ILLINOIS,2001,284.42176994208353
TEXAS,2001,287.2377981241791
DELAWARE,2001,310.2111701190506
RHODE ISLAND,2001,331.36398907047015
ALASKA,2001,339.7987734401152
LOUISIANA,2001,355.2264877098719
CALIFORNIA,2001,369.220529958238
