Total Admissions Per 100k (2003)
STATE,YEAR,VALUE
DISTRICT OF COLUMBIA,2003,0
FEDERAL,2003,18.408245576880294
MASSACHUSETTS,2003,35.63436690563961
MAINE,2003,73.67036502131069
NEW HAMPSHIRE,2003,89.4785824782681
NORTH CAROLINA,2003,114.16926207970556
NEBRASKA,2003,114.20792764524018
PENNSYLVANIA,2003,115.12824090003791
WEST VIRGINIA,2003,116.35533153778802
MINNESOTA,2003,117.15851186106117
MICHIGAN,2003,129.31200193595475
UTAH,2003,138.78512801593993
NEW YORK,2003,140.16358189788508
OREGON,2003,144.35887757803832
WISCONSIN,2003,146.07080490125978
HAWAII,2003,149.52013155834996
WASHINGTON,2003,149.5764454394397
NORTH DAKOTA,2003,157.39346311446266
VIRGINIA,2003,158.67216621682428
WYOMING,2003,159.45864191718968
NEW JERSEY,2003,167.74080352714708
KANSAS,2003,169.25334915529464
COLORADO,2003,183.91764815802057
MARYLAND,2003,187.5122345956889
CONNECTICUT,2003,194.30897896081896
GEORGIA,2003,201.19609504423394
MONTANA,2003,213.79874556858468
IOWA,2003,214.1640119217171
ARIZONA,2003,216.82263182576352
NEVADA,2003,217.48372448366055
NEW MEXICO,2003,223.08594558542814
TENNESSEE,2003,224.0408214978105
OHIO,2003,231.82684763367635
IDAHO,2003,232.67935333613372
OKLAHOMA,2003,233.17318754149773
FLORIDA,2003,233.48785535142045
KENTUCKY,2003,235.24829997958057
SOUTH CAROLINA,2003,240.3487879099206
SOUTH DAKOTA,2003,250.46448710844552
INDIANA,2003,252.72619301629354
ARKANSAS,2003,264.7402500320502
DELAWARE,2003,276.10580374399467
ILLINOIS,2003,287.6810180932961
MISSISSIPPI,2003,297.6973007429704
ALABAMA,2003,304.41427420132453
TEXAS,2003,317.00802813480817
MISSOURI,2003,320.1835499708041
VERMONT,2003,335.2477216292358
LOUISIANA,2003,346.0770558912434
CALIFORNIA,2003,356.63844542527414
RHODE ISLAND,2003,362.20116770446026
ALASKA,2003,430.9523663202659
